GEO_ID,NAME,Gross Rent
06037119202,"Census Tract 1192.02, Los Angeles County, California",1432
06037119310,"Census Tract 1193.10, Los Angeles County, California",1554
06037119320,"Census Tract 1193.20, Los Angeles County, California",1735
06037119340,"Census Tract 1193.40, Los Angeles County, California",1347
06037119341,"Census Tract 1193.41, Los Angeles County, California",1631
06037119342,"Census Tract 1193.42, Los Angeles County, California",1689
06037119400,"Census Tract 1194, Los Angeles County, California",2286
06037119700,"Census Tract 1197, Los Angeles County, California",1676
06037119801,"Census Tract 1198.01, Los Angeles County, California",2990
06037119802,"Census Tract 1198.02, Los Angeles County, California",2151
06037119900,"Census Tract 1199, Los Angeles County, California",1941
06037120010,"Census Tract 1200.10, Los Angeles County, California",1517
06037120020,"Census Tract 1200.20, Los Angeles County, California",1332
06037120030,"Census Tract 1200.30, Los Angeles County, California",1190
06037120103,"Census Tract 1201.03, Los Angeles County, California",1316
06037120104,"Census Tract 1201.04, Los Angeles County, California",1655
06037120105,"Census Tract 1201.05, Los Angeles County, California",1172
06037120106,"Census Tract 1201.06, Los Angeles County, California",1332
06037120107,"Census Tract 1201.07, Los Angeles County, California",1432
06037120108,"Census Tract 1201.08, Los Angeles County, California",1438
06037120300,"Census Tract 1203, Los Angeles County, California",1342
06037120400,"Census Tract 1204, Los Angeles County, California",1553
