OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
2159,1,2159,620305,6203.05,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,3696803.2734375,8707.13289057122
2160,1,2160,620400,6204.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,3751235.94140625,7763.55722075747
2161,1,2161,620501,6205.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,3768516.90625,7776.75611334966
2162,1,2162,620521,6205.21,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,936981.28125,3871.00938228273
2163,1,2163,620522,6205.22,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1088456.54296875,4173.81495382878
2164,2,2164,620601,6206.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1986006.828125,7303.10104087611
2165,2,2165,620602,6206.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1961028.16796875,6895.04626625342
2166,1,2166,620701,6207.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1481962.2734375,5590.05634567848
2167,1,2167,620703,6207.03,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,839568.9375,4152.43913548679
2168,2,2168,620704,6207.04,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1086733.51171875,4963.05846919161
2169,1,2169,620801,6208.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1736439.828125,5832.02287185888
2170,1,2170,620802,6208.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1871342.0390625,5808.75052394228
2171,1,2171,620901,6209.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1270518.3984375,4743.74570726121
2172,1,2172,620904,6209.04,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,MANHATTAN BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1439588.99609375,5250.09582180475
2173,1,2173,621001,6210.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HERMOSA BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1384197.0390625,5919.73612887077
2174,1,2174,621005,6210.05,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HERMOSA BEACH,,INCORPORATED CITY,11,South Bay Planning Area,3044548.234375,7175.47975015249
2175,1,2175,621102,6211.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HERMOSA BEACH,,INCORPORATED CITY,11,South Bay Planning Area,790629.22265625,4007.43785236111
2176,1,2176,621104,6211.04,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,HERMOSA BEACH,,INCORPORATED CITY,11,South Bay Planning Area,2406496.8046875,6249.99530710582
2177,2,2177,621201,6212.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,2384234.1875,6406.13494175526
2178,1,2178,621204,6212.04,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,3156915.51953125,7343.55017564218
2179,2,2179,621301,6213.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,2270987.07421875,6390.45868871775
2180,1,2180,621324,6213.24,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1999899.28125,6404.45938689564
2181,2,2181,621326,6213.26,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,2474795.27734375,6541.84592617241
2182,2,2182,621400,6214.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,REDONDO BEACH,,INCORPORATED CITY,11,South Bay Planning Area,1859826.89453125,5940.19290285795
2271,2,2271,702400,7024.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,2917159.99609375,8912.87035920858
2272,2,2272,702501,7025.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,1960855.41015625,5939.8397337636
2273,1,2273,702502,7025.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,2650292.89453125,9475.05861196859
2274,1,2274,702600,7026.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,3170458.84375,8893.34353929112
2275,1,2275,702700,7027.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,1970891.38671875,6482.60616540948
2276,2,2276,702801,7028.01,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,1742333.6953125,5513.28759103689
2277,2,2277,702802,7028.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,889949.84375,5689.61128140487
2278,2,2278,702803,7028.03,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,1235816.1484375,10096.8636137262
2279,2,2279,702900,7029.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,MARINA DEL REY,UNINCORPORATED AREA,5,Westside Planning Area,5475846.23046875,9552.76741418548
2280,1,2280,703002,7030.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,UNINCORPORATED AREA,5,Westside Planning Area,4778156.1171875,10255.3020091024
2281,1,2281,703003,7030.03,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CULVER CITY,,INCORPORATED CITY,5,Westside Planning Area,2946635.8671875,9299.51585315836
2282,1,2282,703100,7031.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,UNINCORPORATED AREA,5,Westside Planning Area,3885454.640625,9860.74589848016
2283,1,2283,703200,7032.00,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,UNINCORPORATED AREA,5,Westside Planning Area,3072462.9921875,8404.13628362921
2461,2,2461,980002,9800.02,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CARSON,,INCORPORATED CITY,11,South Bay Planning Area,10140166.5742188,13919.0424397986
2472,1,2472,980013,9800.13,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,EL SEGUNDO,,INCORPORATED CITY,5,South Bay Planning Area,7727573.00390625,12616.3981084752
2484,1,2484,980025,9800.25,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CARSON,,INCORPORATED CITY,10,South Bay Planning Area,5660027.12109375,12364.1808486554
2486,1,2486,980028,9800.28,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,LOS ANGELES,,INCORPORATED CITY,5,Westside Planning Area,28677191.109375,31517.5768504412
2487,1,2487,980030,9800.30,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,EL SEGUNDO,,INCORPORATED CITY,5,South Bay Planning Area,7606367.6640625,12791.7120099206
2493,2,2493,980037,9800.37,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,CARSON,,INCORPORATED CITY,11,South Bay Planning Area,1891289.1015625,5551.73249297907
2494,1,2494,980038,9800.38,2ND SUP. DISTRICT,2ND DISTRICT: HOLLY MITCHELL,2,,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,UNINCORPORATED AREA,5,Westside Planning Area,6588690.12109375,15825.1625220383
