TractNum,Location,Total Unsheltered,Total Sheltered,Total Population
186302,Glassell Park NC,13.831,0,13.831
186401,Glassell Park NC,44.432,0,44.432
186403,Glassell Park NC,14.874,0,14.874
186404,Glassell Park NC,12.735,0,12.735
187101,Atwater Village NC,14.812,0,14.812
187102,Atwater Village NC,29.3,0,29.3
187200,Elysian Valley Riverside NC,58.686,0,58.686
187300,Silver Lake NC,25.517,0,25.517
188100,Atwater Village NC,13.81,0,13.81
188201,Los Feliz NC,6.83,0,6.83
188202,Los Feliz NC,0,0,0
188300,Atwater Village NC,1.331,0,1.331
189101,Los Feliz NC,34.995,0,34.995
189102,Los Feliz NC,3,0,3
189201,Los Feliz NC,9.104,0,9.104
189202,Los Feliz NC,1.701,0,1.701
189300,Hollywood United NC,1.701,0,1.701
189400,Hollywood United NC,0,10,10
189500,Hollywood United NC,12.649,0,12.649
189600,Hollywood United NC,10.589,0,10.589
189701,Hollywood United NC,5.618,0,5.618
189702,Hollywood Hills West NC,6,0,6
189800,Hollywood Hills West NC,27.76,0,27.76
189902,Hollywood Hills West NC,28.55,0,28.55
189903,Hollywood Hills West NC,0,0,0
189904,Hollywood Hills West NC,12.148,0,12.148
189905,Hollywood Hills West NC,23.696,0,23.696
190100,Central Hollywood NC,77.429,0,77.429
190201,Hollywood Hills West NC,25.6,0,25.6
190202,Hollywood Hills West NC,36.294,0,36.294
190301,Hollywood United NC,82.118,22,104.12
190401,Los Feliz NC,0,0,0
190402,Los Feliz NC,13.044,0,13.044
190510,Hollywood Studio District NC,24.909,0,24.909
190520,East Hollywood NC,5.746,0,5.746
190700,Central Hollywood NC,102.15,47,149.15
190801,Central Hollywood NC,61.114,29,90.114
190802,Central Hollywood NC,67.359,0,67.359
190901,Hollywood Studio District NC,53.955,87,140.96
190902,Hollywood Studio District NC,21.056,0,21.056
191000,Hollywood Studio District NC,294.37,67,361.37
191110,East Hollywood NC,51.615,0,51.615
191120,East Hollywood NC,24.681,0,24.681
191201,East Hollywood NC,28.161,0,28.161
191203,East Hollywood NC,14.173,0,14.173
191204,East Hollywood NC,24.127,0,24.127
191301,East Hollywood NC,30.485,0,30.485
191302,East Hollywood NC,21.43,0,21.43
191410,East Hollywood NC,24.109,0,24.109
191420,East Hollywood NC,38.903,0,38.903
191500,East Hollywood NC,27.951,0,27.951
191610,Hollywood Studio District NC,11.411,0,11.411
191620,East Hollywood NC,14.277,0,14.277
191710,Hollywood Studio District NC,3.427,0,3.427
191720,Hollywood Studio District NC,26.25,0,26.25
191810,Central Hollywood NC,41.05,0,41.05
191820,Central Hollywood NC,53.247,0,53.247
191901,Central Hollywood NC,139.76,14,153.76
191902,Greater Wilshire NC,20.738,0,20.738
192001,Mid-City West NC,10.574,0,10.574
192002,Mid-City West NC,22.764,0,22.764
192300,Greater Wilshire NC,1,0,1
192410,Greater Wilshire NC,0,0,0
